EST,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,Events,WindDirDegrees
1/1/2016,38,23,52,30.03,10,8,0.00,,281
1/2/2016,36,18,46,30.02,10,7,0.00,,275
1/3/2016,40,21,47,29.86,10,8,0.00,,277
1/4/2016,25,9,44,30.05,10,9,0.00,,345
1/5/2016,20,-3,41,30.57,10,5,0.00,,333
1/6/2016,33,4,35,30.50,10,4,0.00,,259
1/7/2016,39,11,33,30.28,10,2,0.00,,293
1/8/2016,39,29,64,30.20,10,4,0.00,,79
1/9/2016,44,38,77,30.16,9,8,0.01,Rain,76
1/10/2016,50,46,71,29.59,4,1.8,0.24,Rain,109
1/11/2016,33,8,37,29.92,10,1,0.00,,289
1/12/2016,35,15,53,29.85,10,6,0.00,,235
1/13/2016,26,4,42,29.94,10,10,0.00,,284
1/14/2016,30,12,47,29.95,10,5,0.00,,266
1/15/2016,43,31,62,29.82,9,5,0.00,,101
1/16/2016,47,37,70,29.52,8,7,0.24,Rain,340
1/17/2016,36,23,66,29.78,8,6,0.05,Fog-Snow,345
